FIR_Number,Crime_Type,District,Police_Station,Latitude,Longitude,Date,Status,IPC_Sections,Risk_Level,AI_Confidence,Prediction_Flag
KSP/BEN/2024/00001,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Koramangala,12.9999,77.5349,2024-09-18 02:56:00,Investigating,"Sec 279, 337 IPC",Medium,96.1,Standard Monitoring
KSP/BEN/2026/00002,HURT / ASSAULT,Bengaluru Dist,Doddaballapura,13.1503,77.5839,2026-03-29 05:07:00,Closed,"Sec 323, 324, 504 IPC",High,93.9,High Risk Zone
KSP/HAV/2024/00003,HURT / ASSAULT,Haveri,Byadgi,14.7629,75.4524,2024-11-24 10:05:00,Solved,"Sec 323, 324, 504 IPC",High,86.2,High Risk Zone
KSP/BEN/2024/00004,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Koramangala,12.9059,77.6355,2024-04-15 03:39:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,91.5,Standard Monitoring
KSP/RAM/2024/00005,CrPC OFFENCES,Ramanagara,Kanakapura,12.7242,77.2064,2024-02-13 10:26:00,Pending,"Sec 107, 151 CrPC",Low,86.3,Standard Monitoring
KSP/TUM/2026/00006,CYBER CRIME & FRAUD,Tumakuru,Kyatsandra,13.3322,77.1373,2026-04-20 14:24:00,Closed,"Sec 66D IT Act, 420 IPC",High,96.6,High Risk Zone
KSP/BEN/2025/00007,BURGLARY / HOUSE BREAKING,Bengaluru City,Electronic City,12.9463,77.6569,2025-08-12 10:30:00,Charge Sheeted,"Sec 454, 457, 380 IPC",High,93.3,High Risk Zone
KSP/BEN/2024/00008,HURT / ASSAULT,Bengaluru City,Koramangala,12.9882,77.5264,2024-03-15 13:37:00,Closed,"Sec 323, 324, 504 IPC",High,85.4,High Risk Zone
KSP/BEN/2024/00009,HURT / ASSAULT,Bengaluru City,Electronic City,12.912,77.5557,2024-05-17 17:04:00,Closed,"Sec 323, 324, 504 IPC",High,89.0,High Risk Zone
KSP/BEN/2025/00010,KPA 1963 VIOLATIONS,Bengaluru Dist,Nelamangala,13.1604,77.6294,2025-03-03 15:47:00,Charge Sheeted,"Sec 78, 87 KPA",Low,86.3,Standard Monitoring
KSP/CHI/2024/00011,MOTOR VEHICLE ACCIDENTS NON-FATAL,Chitradurga,Challakere,14.1812,76.4362,2024-06-05 18:28:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,90.0,Standard Monitoring
KSP/BEN/2026/00012,CYBER CRIME & FRAUD,Bengaluru City,Electronic City,12.9404,77.6284,2026-02-10 04:45:00,Closed,"Sec 66D IT Act, 420 IPC",High,90.7,High Risk Zone
KSP/MAN/2025/00013,KPA 1963 VIOLATIONS,Mangaluru,Barkarke,12.8784,74.813,2025-03-15 08:30:00,Pending,"Sec 78, 87 KPA",Low,94.1,Standard Monitoring
